Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
rs232_flowFIXME 00000dae        Data Label      Global  User Defined    0       0
ikbdiorec       00000db0        Data Label      Global  User Defined    6       0
midiiorec       00000dbe        Data Label      Global  User Defined    4       0
midivec         00000dcc        Data Label      Global  User Defined    3       0
vkbderr         00000dd0        Data Label      Global  User Defined    2       0
vmiderr         00000dd4        Data Label      Global  User Defined    2       0
statvec         00000dd8        Data Label      Global  User Defined    2       0
mousevec        00000ddc        Data Label      Global  User Defined    5       0
clockvec        00000de0        Data Label      Global  User Defined    2       0
joyvec          00000de4        Data Label      Global  User Defined    3       0
midisys         00000de8        Data Label      Global  User Defined    2       0
ikbdsys         00000dec        Data Label      Global  User Defined    2       0
ikbdstate       00000df0        Data Label      Global  User Defined    7       0
kbdlength       00000df1        Data Label      Global  User Defined    4       0
kbdbuf          00000df2        Data Label      Global  User Defined    1       0
mousebuf        00000df9        Data Label      Global  User Defined    2       0
relmbuf         00000dfe        Data Label      Global  User Defined    3       0
clockbuf        00000e01        Data Label      Global  User Defined    2       0
joybuf          00000e07        Data Label      Global  User Defined    4       2
iclkrtime       00000e0a        Data Label      Global  User Defined    2       0
iclkwtime       00000e0e        Data Label      Global  User Defined    2       0
iclkbuf         00000e12        Data Label      Global  User Defined    1       0
buttonbuf       00000e18        Data Label      Global  User Defined    3       2
shifty          00000e1b        Data Label      Global  User Defined    23      0
curkeytbl       00000e1c        Data Label      Global  User Defined    4       2
initmbuf        00000e28        Data Label      Global  User Defined    6       0
kb_key_last     00000e39        Data Label      Global  User Defined    6       0
kb_ticks        00000e3a        Data Label      Global  User Defined    5       0
kb_delay        00000e3b        Data Label      Global  User Defined    5       0
kb_initial      00000e3c        Data Label      Global  User Defined    4       0
kb_repeat       00000e3d        Data Label      Global  User Defined    4       0
lst_timeout     00000e3e        Data Label      Global  User Defined    2       0
tim_c_sieve     00000e42        Data Label      Global  User Defined    2       0
sndtable        00000e44        Data Label      Global  User Defined    7       0
snddelay        00000e48        Data Label      Global  User Defined    8       0
sndtmp          00000e49        Data Label      Global  User Defined    5       0
prtconfig       00000e4a        Data Label      Global  User Defined    3       0
iclk_ready      00000e4c        Data Label      Global  User Defined    3       0
biosav          00000e50        Data Label      Global  User Defined    2       0
savesr          00000e58        Data Label      Global  User Defined    2       0
fstack          00000e5a        Data Label      Global  User Defined    0       13
old_tik         00001672        Data Label      Global  User Defined    2       0
old_2           00001676        Data Label      Global  User Defined    2       0
dskbuf          0000167a        Data Label      Global  User Defined    20      0
fill_buffer     0000167a        Data Label      Global  User Defined    0       0
search_color    0000167c        Data Label      Global  User Defined    7       0
oldy            00001688        Data Label      Global  User Defined    14      0
xleft           00001692        Data Label      Global  User Defined    14      0
width           000016a6        Data Label      Global  User Defined    51      0
height          000016a8        Data Label      Global  User Defined    23      0
FLIP_Y          000016be        Data Label      Global  User Defined    12      0
deftxbu         00001766        Data Label      Global  User Defined    1       0
ptsin_array     0000197a        Data Label      Global  User Defined    3       0
linea_negative_variables        000025ac        Data Label      Global  User Defined    0       0
angle           000025ac        Data Label      Global  User Defined    5       0
beg_ang         000025ae        Data Label      Global  User Defined    7       0
CUR_FONT        000025b0        Data Label      Global  User Defined    22      0
