Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
clrbss          00fc01d0        Instruction Label       Global  User Defined    1       0
clrscr          00fc01f8        Instruction Label       Global  User Defined    1       0
gemok           00fc0214        Instruction Label       Global  User Defined    1       0
cart_base       00fc02c4        Instruction Label       Global  User Defined    0       0
initexc         00fc02e4        Instruction Label       Global  User Defined    1       0
noexc           00fc02f6        Instruction Label       Global  User Defined    1       0
initvbl         00fc033e        Instruction Label       Global  User Defined    1       0
shfmodok        00fc0360        Instruction Label       Global  User Defined    1       0
monchkret       00fc0376        Instruction Label       Global  User Defined    1       0
nomonomon       00fc0386        Instruction Label       Global  User Defined    1       0
nomed           00fc03a0        Instruction Label       Global  User Defined    1       0
nocmd           00fc03fe        Instruction Label       Global  User Defined    1       0
copyenv         00fc040a        Instruction Label       Global  User Defined    1       0
nextenvc        00fc0412        Instruction Label       Global  User Defined    1       0
dopexec         00fc045a        Instruction Label       Global  User Defined    1       0
default_env     00fc046a        Data Label      Global  User Defined    3       1
command_prg     00fc0476        Data Label      Global  User Defined    1       0
emptystr        00fc0489        Data Label      Global  User Defined    11      0
diskboot        00fc048c        Function        Global  User Defined    1       0
nodiskboot      00fc04a6        Instruction Label       diskboot        User Defined    1       0
dmaboot         00fc04a8        Function        Global  User Defined    1       0
dmadev          00fc04aa        Instruction Label       dmaboot User Defined    1       0
dmacrc          00fc04ba        Instruction Label       dmaboot User Defined    1       0
nextdev         00fc04ce        Instruction Label       dmaboot User Defined    2       0
dmaread         00fc04d6        Function        Global  User Defined    1       0
dmaread2        00fc0532        Instruction Label       dmaread User Defined    1       0
dmaread3        00fc0556        Instruction Label       dmaread User Defined    3       0
dmaread4        00fc0558        Instruction Label       dmaread User Defined    1       0
acmdtab         00fc0566        Data Label      Global  User Defined    2       0
acsistat        00fc0576        Instruction Label       Global  User Defined    2       0
acsista0        00fc057a        Instruction Label       Global  User Defined    1       0
acsista0        00fc0580        Instruction Label       Global  User Defined    1       0
acsista2        00fc0594        Instruction Label       Global  User Defined    1       0
run_cartridge_applications      00fc0596        Function        Global  User Defined    4       0
testtype        00fc05a4        Instruction Label       run_cartridge_applications      User Defined    1       0
nextapp         00fc05b8        Instruction Label       run_cartridge_applications      User Defined    1       0
cartover        00fc05be        Instruction Label       run_cartridge_applications      User Defined    1       0
bios_unimpl     00fc05c0        Function        Global  User Defined    11      0
memchk0         00fc05c2        Function        Global  User Defined    3       0
memchk1         00fc05ca        Instruction Label       memchk0 User Defined    1       0
memchk2         00fc05d6        Instruction Label       memchk0 User Defined    1       0
memchk          00fc05d8        Function        Global  User Defined    2       0
four_long_zero  00fc05ee        Data Label      Global  User Defined    1       0
dflt_pal        00fc05fe        Data Label      Global  User Defined    1       0
int_hbl         00fc061e        Instruction Label       Global  User Defined    1       0
is_ipl          00fc0630        Instruction Label       Global  User Defined    1       0
int_vbl         00fc0634        Instruction Label       Global  User Defined    1       0
vblloop         00fc066e        Instruction Label       Global  User Defined    1       0
vbl_wasmono     00fc0678        Instruction Label       Global  User Defined    1       0
vbl_monchg      00fc068e        Instruction Label       Global  User Defined    2       0
vbl_nomonchg    00fc069e        Instruction Label       Global  User Defined    2       0
vbl_palette_loop        00fc06b8        Instruction Label       Global  User Defined    1       0
vbl_no_palette  00fc06c2        Instruction Label       Global  User Defined    1       0
vbl_no_screenpt 00fc06e2        Instruction Label       Global  User Defined    1       0
vbl_loop        00fc06f6        Instruction Label       Global  User Defined    1       0
vbl_next        00fc070a        Instruction Label       Global  User Defined    1       0
vbl_no_queue    00fc070e        Instruction Label       Global  User Defined    1       0
vbl_no_dump     00fc071a        Instruction Label       Global  User Defined    1       0
vbl_end         00fc071e        Instruction Label       Global  User Defined    1       0
just_rte        00fc0724        Instruction Label       Global  User Defined    2       0
vsync           00fc0726        Function        Global  User Defined    2       0
vsyncwait       00fc0732        Instruction Label       vsync   User Defined    1       0
callcrit        00fc073e        Function        Global  User Defined    4       0
critret         00fc0744        Function        Global  User Defined    1       0
xbiostrap       00fc0748        Function        Global  User Defined    1       0
biostrap        00fc074e        Function        Global  User Defined    1       0
biosxbios       00fc0752        Instruction Label       biostrap        User Defined    1       0
bx_sp_ok        00fc0770        Instruction Label       biostrap        User Defined    1       0
bx_notindirect  00fc0782        Instruction Label       biostrap        User Defined    1       0
bx_ret          00fc0786        Instruction Label       biostrap        User Defined    1       0
bios_vecs       00fc079c        Data Label      Global  User Defined    2       0
bios_vecs_array 00fc079e        Data Label      Global  User Defined    1       0
xbios_vecs      00fc07ce        Data Label      Global  User Defined    2       0
xbios_vecs_array        00fc07d0        Data Label      Global  User Defined    1       0
supexec         00fc0870        Function        Global  User Defined    1       0
bbconstat       00fc0876        Instruction Label       Global  User Defined    1       0
bbconin         00fc087c        Instruction Label       Global  User Defined    1       0
bbcostat        00fc0882        Instruction Label       Global  User Defined    1       0
bbconout        00fc0888        Instruction Label       Global  User Defined    1       0
doxconxx        00fc088c        Instruction Label       Global  User Defined    3       0
_bconstat_vec   00fc0898        Data Label      Global  User Defined    2       0
_bconin_vec     00fc08b0        Data Label      Global  User Defined    2       0
_bcostat_vec    00fc08c8        Data Label      Global  User Defined    2       0
_bconout_vec    00fc08e0        Data Label      Global  User Defined    2       0
drvmap          00fc08f8        Instruction Label       Global  User Defined    1       0
kbshift         00fc08fe        Function        Global  User Defined    1       0
getmpb          00fc0910        Function        Global  User Defined    1       0
setexc          00fc093c        Instruction Label       Global  User Defined    1       0
tickcal         00fc0954        Function        Global  User Defined    1       0
physbase        00fc095c        Function        Global  User Defined    1       0
logbase         00fc0970        Function        Global  User Defined    1       0
getrez          00fc0976        Function        Global  User Defined    1       0
vsetscreen      00fc0982        Function        Global  User Defined    1       0
setpalette      00fc09d0        Function        Global  User Defined    1       0
setcolor        00fc09d8        Function        Global  User Defined    1       0
puntaes         00fc09fe        Function        Global  User Defined    1       0
puntaes1        00fc0a18        Instruction Label       puntaes User Defined    2       0
any_vec         00fc0a1a        Instruction Label       Global  User Defined    1       0
savp_2          00fc0a1e        Function        Global  User Defined    1       0
any_vec1        00fc0a3e        Instruction Label       savp_2  User Defined    1       0
drawbombs       00fc0a70        Function        Global  User Defined    1       0
drawbo4         00fc0a9e        Instruction Label       drawbombs       User Defined    1       0
drawbo5         00fc0aa2        Instruction Label       drawbombs       User Defined    1       0
drawbo6         00fc0aa6        Instruction Label       drawbombs       User Defined    1       0
bofftab         00fc0abe        Data Label      Global  User Defined    1       0
dplanetab       00fc0ac6        Data Label      Global  User Defined    1       0
dwidthtab       00fc0ace        Data Label      Global  User Defined    1       0
cpy512          00fc0ad6        Function        Global  User Defined    2       0
cpy512l         00fc0ae2        Instruction Label       cpy512  User Defined    1       0
chdv_init       00fc0af8        Function        Global  User Defined    1       0
autopath        00fc0b00        Data Label      Global  User Defined    2       1
autoexec        00fc0b14        Function        Global  User Defined    2       0
autoexe1        00fc0b70        Instruction Label       autoexec        User Defined    1       0
autoscan        00fc0b78        Function        Global  User Defined    1       0
autosca1        00fc0bb2        Instruction Label       autoscan        User Defined    1       0
autosca2        00fc0bda        Instruction Label       autoscan        User Defined    1       0
autosca3        00fc0be6        Instruction Label       autoscan        User Defined    1       0
autosca4        00fc0c0c        Instruction Label       autoscan        User Defined    2       0
scrdmp          00fc0c1a        Function        Global  User Defined    2       0
bscr_dump       00fc0c2c        Function        Global  User Defined    1       0
pbdeftab        00fc0cb0        Data Label      Global  User Defined    2       1
pbprtype        00fc0cbc        Data Label      Global  User Defined    1       0
bombimage       00fc0cc4        Data Label      Global  User Defined    1       0
waitvbl         00fc0ce4        Function        Global  User Defined    2       0
waitvbl2        00fc0d06        Instruction Label       waitvbl User Defined    1       0
waitvbl3        00fc0d0c        Instruction Label       waitvbl User Defined    1       0
waitvbl4        00fc0d12        Instruction Label       waitvbl User Defined    1       0
run_reset_resident      00fc0d20        Function        Global  User Defined    1       0
run_res1        00fc0d26        Instruction Label       run_reset_resident      User Defined    4       0
run_res2        00fc0d48        Instruction Label       run_reset_resident      User Defined    1       0
run_res3        00fc0d5e        Instruction Label       run_reset_resident      User Defined    1       0
bhdv_init       00fc0d60        Function        Global  User Defined    1       0
dbmsg           00fc0ddc        Function        Global  User Defined    1       0
bhdv_getbpb     00fc0de6        Function        Global  User Defined    1       0
bhdv_mediach    00fc0f96        Function        Global  User Defined    2       0
ckmediach       00fc1000        Function        Global  User Defined    2       0
bhdv_rwabs      00fc10d2        Function        Global  User Defined    1       0
dorwabs         00fc115c        Function        Global  User Defined    1       0
random          00fc132c        Function        Global  User Defined    2       0
bhdv_boot       00fc137c        Function        Global  User Defined    1       0
protobt         00fc1414        Function        Global  User Defined    1       0
sectsum         00fc1500        Function        Global  User Defined    2       0
getiword        00fc1530        Function        Global  User Defined    9       0
flopini         00fc1556        Function        Global  User Defined    1       0
flopini1        00fc1568        Instruction Label       flopini User Defined    1       0
floprd          00fc159e        Function        Global  User Defined    5       0
floprd6         00fc1642        Instruction Label       floprd  User Defined    3       0
fdcerr          00fc165a        Function        Global  User Defined    4       0
fdcerr1         00fc1676        Instruction Label       fdcerr  User Defined    3       0
flopwrt         00fc167c        Function        Global  User Defined    2       0
flopfmt         00fc1734        Function        Global  User Defined    1       0
fmtrack         00fc17a4        Function        Global  User Defined    1       0
wmult           00fc18c6        Function        Global  User Defined    9       0
flopver         00fc18ce        Function        Global  User Defined    2       0
verify1         00fc18ea        Function        Global  User Defined    2       0
verify3         00fc190e        Instruction Label       verify1 User Defined    1       0
verify6         00fc197e        Instruction Label       verify1 User Defined    1       0
verify7         00fc1996        Instruction Label       verify1 User Defined    3       0
verify8         00fc19a2        Instruction Label       verify1 User Defined    1       0
flopvbl         00fc19b0        Function        Global  User Defined    1       0
flopvbl4        00fc1a2e        Instruction Label       flopvbl User Defined    1       0
floplock        00fc1a34        Function        Global  User Defined    5       0
floploc1        00fc1a90        Instruction Label       floplock        User Defined    1       0
flopfail        00fc1acc        Function        Global  User Defined    9       0
flopok          00fc1ada        Function        Global  User Defined    5       0
hardseek        00fc1b28        Function        Global  User Defined    1       0
hardsee1        00fc1b2e        Function        Global  User Defined    2       0
reseek          00fc1b46        Function        Global  User Defined    3       0
go2track        00fc1b7a        Function        Global  User Defined    3       0
restore         00fc1ba0        Function        Global  User Defined    5       0
flopcmds        00fc1bb6        Function        Global  User Defined    5       0
flopcmd1        00fc1bda        Instruction Label       flopcmds        User Defined    1       0
flopcmd2        00fc1bde        Instruction Label       flopcmds        User Defined    1       0
flopcmd3        00fc1bf4        Instruction Label       flopcmds        User Defined    1       0
fd_curerr       00fc1bfa        Function        Global  User Defined    6       0
select          00fc1c14        Function        Global  User Defined    6       0
set_dma_TMP     00fc1c3c        Function        Global  User Defined    1       0
setporta        00fc1c60        Function        Global  User Defined    4       0
wrfdcd6         00fc1c86        Function        Global  User Defined    1       0
wrfdcd7         00fc1c90        Function        Global  User Defined    16      0
rdfdcd7         00fc1c9a        Function        Global  User Defined    2       0
rdfdcd0         00fc1ca4        Function        Global  User Defined    6       0
rwdelay         00fc1cac        Function        Global  User Defined    7       0
fdchange        00fc1cbe        Function        Global  User Defined    4       0
setdchg         00fc1cf6        Function        Global  User Defined    3       0
clockvec_routine        00fc1d12        Instruction Label       Global  User Defined    1       0
gettime         00fc1d5c        Function        Global  User Defined    1       0
isetdt          00fc1d76        Function        Global  User Defined    1       0
bcdput          00fc1de4        Function        Global  User Defined    6       0
bcdget          00fc1dfc        Function        Global  User Defined    6       0
bco3stat        00fc1e14        Function        Global  User Defined    1       0
bcon3out        00fc1e26        Function        Global  User Defined    1       0
bcon3o1         00fc1e2a        Function        Global  User Defined    1       0
midiws          00fc1e40        Function        Global  User Defined    1       0
midiws1         00fc1e4a        Instruction Label       midiws  User Defined    1       0
bcon3stat       00fc1e54        Function        Global  User Defined    2       0
bcon3in         00fc1e70        Function        Global  User Defined    2       0
bcon0out        00fc1ea0        Function        Global  User Defined    2       0
bcon0o3         00fc1edc        Instruction Label       Global  User Defined    1       0
strobeoff       00fc1f08        Instruction Label       Global  User Defined    3       0
strobeon        00fc1f0e        Instruction Label       Global  User Defined    3       0
bcon0in         00fc1f14        Function        Global  User Defined    1       0
bco0stat        00fc1f34        Function        Global  User Defined    4       0
bcon6stat       00fc1f48        Function        Global  User Defined    2       0
bcon6st2        00fc1f5c        Instruction Label       bcon6stat       User Defined    1       0
bcon6in         00fc1f5e        Function        Global  User Defined    2       0
bco6stat        00fc1f6e        Function        Global  User Defined    2       0
bco6sret        00fc1f84        Instruction Label       bco6stat        User Defined    1       0
bcon6out        00fc1f86        Function        Global  User Defined    4       0
bco4stat        00fc1f92        Function        Global  User Defined    1       0
bcon4out        00fc1fa4        Function        Global  User Defined    1       0
ikbd_writeb     00fc1fa8        Function        Global  User Defined    5       0
ikbdws          00fc1fbe        Function        Global  User Defined    1       0
ikbdws1         00fc1fc8        Function        Global  User Defined    6       0
bcon2stat       00fc1fd2        Function        Global  User Defined    2       0
bcon2in         00fc1fe8        Function        Global  User Defined    2       0
bco2stat        00fc2018        Function        Global  User Defined    1       0
ringbell        00fc201c        Function        Global  User Defined    1       0
soundir8        00fc2032        Instruction Label       ringbell        User Defined    1       0
keytblnorm      00fc2034        Data Label      Global  User Defined    1       0
keytblshift     00fc20b4        Data Label      Global  User Defined    1       0
keytblcaps      00fc2134        Data Label      Global  User Defined    1       0
initmfp         00fc21b4        Function        Global  User Defined    1       0
dummyrts        00fc230a        Instruction Label       initmfp User Defined    1       0
copymem         00fc230c        Function        Global  User Defined    4       0
ikbd_init_commands      00fc2314        Data Label      Global  User Defined    1       0
ikbdtable       00fc2318        Data Label      Global  User Defined    1       0
ikbdtable2      00fc231c        Data Label      Global  User Defined    0       0
miditable       00fc2326        Data Label      Global  User Defined    1       0
miditable2      00fc232a        Data Label      Global  User Defined    0       0
rs232table      00fc2334        Data Label      Global  User Defined    1       0
rs232table1     00fc2338        Data Label      Global  User Defined    0       0
rs232table2     00fc2342        Data Label      Global  User Defined    0       0
rs232table3     00fc2346        Data Label      Global  User Defined    0       0
rs232table4     00fc2350        Data Label      Global  User Defined    0       0
mfpvectr        00fc2356        Data Label      Global  User Defined    2       1
settimer        00fc2366        Function        Global  User Defined    4       0
settim1         00fc23c4        Instruction Label       settimer        User Defined    1       0
mskreg          00fc23d8        Function        Global  User Defined    5       0
getmask         00fc23e0        Function        Global  User Defined    1       0
iert            00fc23ee        Data Label      Global  User Defined    1       0
iprt            00fc23f2        Data Label      Global  User Defined    1       0
isrt            00fc23f6        Data Label      Global  User Defined    1       0
imrt            00fc23fa        Data Label      Global  User Defined    1       0
imrmt           00fc23fe        Data Label      Global  User Defined    4       0
tcrtab          00fc2402        Data Label      Global  User Defined    2       0
tcrmsk          00fc2406        Data Label      Global  User Defined    1       0
tdrtab          00fc240a        Data Label      Global  User Defined    2       0
mfpint          00fc240e        Function        Global  User Defined    1       0
initint         00fc241c        Instruction Label       Global  User Defined    5       0
jdisint         00fc2438        Function        Global  User Defined    1       0
jdisint1        00fc2442        Instruction Label       Global  User Defined    1       0
jenabint        00fc2472        Function        Global  User Defined    1       0
jenabin1        00fc247c        Instruction Label       Global  User Defined    1       0
bselect         00fc249c        Instruction Label       Global  User Defined    6       0
lea_rs232iorec_mfp      00fc24b0        Function        Global  User Defined    8       0
FUN_00fc24d2    00fc24d2        Function        Global  Default 2       0
iorecout        00fc24e0        Function        Global  User Defined    3       0
FUN_00fc253c    00fc253c        Function        Global  Default 1       0
rcvrint         00fc2596        Function        Global  User Defined    1       0
txrint          00fc2666        Function        Global  User Defined    1       0
ctsint          00fc26b2        Function        Global  User Defined    1       0
rxerror         00fc26fa        Function        Global  User Defined    1       0
txerror         00fc2718        Function        Global  User Defined    1       0
iorec           00fc2732        Function        Global  User Defined    1       0
iorectab        00fc274e        Data Label      Global  User Defined    2       0
rsconf          00fc275a        Function        Global  User Defined    1       0
baudctrl        00fc27e4        Data Label      Global  User Defined    2       0
bauddata        00fc27f4        Data Label      Global  User Defined    2       0
wrapin          00fc2810        Instruction Label       Global  User Defined    5       0
int_acia        00fc281c        Function        Global  User Defined    1       0
_midisys        00fc284a        Instruction Label       Global  User Defined    1       0
_ikbdsys        00fc285a        Instruction Label       Global  User Defined    1       0
aciasys         00fc2868        Instruction Label       Global  User Defined    1       0
aciasys1        00fc2882        Instruction Label       Global  User Defined    1       0
aciasys2        00fc288e        Instruction Label       Global  User Defined    5       0
aciaread        00fc2890        Function        Global  User Defined    1       0
begin_p1        00fc28e4        Instruction Label       aciaread        User Defined    2       0
begin_p2        00fc28ee        Instruction Label       aciaread        User Defined    1       0
ikbd_state_table        00fc28f0        Data Label      Global  User Defined    2       0
kbd_length_table        00fc28fa        Data Label      Global  User Defined    2       0
in_packet       00fc2904        Instruction Label       aciaread        User Defined    1       0
in_pack1        00fc2948        Instruction Label       aciaread        User Defined    1       0
in_pack2        00fc2952        Instruction Label       aciaread        User Defined    1       0
ikbdbaddr       00fc2954        Data Label      Global  User Defined    2       2
kbd_joy         00fc2990        Instruction Label       aciaread        User Defined    1       0
kbdvec          00fc29aa        Instruction Label       aciaread        User Defined    1       0
kbdvec1         00fc29ba        Instruction Label       aciaread        User Defined    1       0
kbdvec2         00fc29c6        Instruction Label       aciaread        User Defined    1       0
kbdvec3         00fc29d2        Instruction Label       aciaread        User Defined    1       0
kbdvec4         00fc29de        Instruction Label       aciaread        User Defined    1       0
kbdvec5         00fc29ea        Instruction Label       aciaread        User Defined    1       0
kbdvec6         00fc29f6        Instruction Label       aciaread        User Defined    1       0
kbdvec7         00fc2a02        Instruction Label       aciaread        User Defined    1       0
kbdvec8         00fc2a0e        Instruction Label       aciaread        User Defined    1       0
kbdvec9         00fc2a2a        Instruction Label       aciaread        User Defined    1       0
kbdvec10        00fc2a2e        Instruction Label       aciaread        User Defined    8       0
kbdvec11        00fc2a34        Instruction Label       aciaread        User Defined    1       0
kbdvec12        00fc2a64        Instruction Label       aciaread        User Defined    1       0
kbdvec13        00fc2a78        Instruction Label       aciaread        User Defined    1       0
kbdvec14        00fc2a86        Instruction Label       aciaread        User Defined    1       0
kbdvec15        00fc2a90        Instruction Label       Global  User Defined    3       0
kbdvec16        00fc2aa6        Instruction Label       Global  User Defined    1       0
kbdvec17        00fc2ac0        Instruction Label       Global  User Defined    1       0
kbdvec18        00fc2ad0        Instruction Label       Global  User Defined    1       0
kbdvec19        00fc2ae6        Instruction Label       Global  User Defined    2       0
kbdvec20        00fc2aea        Instruction Label       Global  User Defined    1       0
kbdvec21        00fc2b00        Instruction Label       Global  User Defined    1       0
kbdvec22        00fc2b0e        Instruction Label       Global  User Defined    1       0
kbdvec23        00fc2b1c        Instruction Label       Global  User Defined    1       0
kbdvec24        00fc2b2a        Instruction Label       Global  User Defined    2       0
kbdvec25        00fc2b36        Instruction Label       Global  User Defined    1       0
kbdvec26        00fc2b42        Instruction Label       Global  User Defined    1       0
kbdvec27        00fc2b4e        Instruction Label       Global  User Defined    1       0
kbdvec27        00fc2b56        Instruction Label       Global  User Defined    1       0
kbdfr1          00fc2b7e        Instruction Label       Global  User Defined    1       0
kbdfr2          00fc2b9c        Instruction Label       Global  User Defined    1       0
kbdfr3          00fc2bba        Instruction Label       Global  User Defined    1       0
kbdfr4          00fc2bd8        Instruction Label       Global  User Defined    1       0
kbdvec33        00fc2be8        Instruction Label       Global  User Defined    1       0
kbdvec34        00fc2bf0        Instruction Label       Global  User Defined    1       0
kbdvec35        00fc2c1e        Instruction Label       Global  User Defined    1       0
kbdvec36        00fc2c40        Instruction Label       Global  User Defined    1       0
kbdvec37        00fc2c62        Instruction Label       Global  User Defined    1       0
kbdvec38        00fc2c84        Instruction Label       Global  User Defined    1       0
kbdvec39        00fc2c96        Instruction Label       Global  User Defined    2       0
kbdvec40        00fc2ca2        Instruction Label       Global  User Defined    2       0
kbdvec41        00fc2ca6        Instruction Label       Global  User Defined    2       0
kbdvec44        00fc2cb4        Instruction Label       Global  User Defined    20      0
kbdvec45        00fc2cc8        Instruction Label       Global  User Defined    1       0
kbdvec46        00fc2cf0        Instruction Label       Global  User Defined    1       0
kbdvec47        00fc2cf8        Instruction Label       Global  User Defined    4       0
midiread        00fc2cfa        Function        Global  User Defined    1       0
_midivec        00fc2d00        Instruction Label       Global  User Defined    1       0
midivec1        00fc2d0e        Instruction Label       Global  User Defined    1       0
midivec2        00fc2d20        Instruction Label       Global  User Defined    1       0
keymouse        00fc2d22        Function        Global  User Defined    1       0
keymous4        00fc2d40        Instruction Label       Global  User Defined    8       0
mousekey        00fc2d66        Data Label      Global  User Defined    1       2
giaccess        00fc2d6a        Function        Global  User Defined    1       0
gientry         00fc2d72        Instruction Label       Global  User Defined    10      0
giacces1        00fc2d92        Instruction Label       Global  User Defined    1       0
rtson           00fc2da2        Instruction Label       Global  User Defined    3       0
dtron           00fc2daa        Function        Global  User Defined    1       0
ongibit         00fc2dae        Function        Global  User Defined    1       0
onbit           00fc2db4        Instruction Label       Global  User Defined    3       0
offgibit        00fc2dd4        Function        Global  User Defined    1       0
offbit          00fc2dda        Function        Global  User Defined    3       0
initmouse       00fc2dfa        Function        Global  User Defined    1       0
initmou1        00fc2e26        Instruction Label       initmouse       User Defined    1       0
initmou2        00fc2e36        Instruction Label       initmouse       User Defined    1       0
initmou3        00fc2e50        Instruction Label       initmouse       User Defined    1       0
initmou4        00fc2e92        Instruction Label       initmouse       User Defined    1       0
initmou5        00fc2ea6        Instruction Label       initmouse       User Defined    3       0
setmouse        00fc2eaa        Function        Global  User Defined    3       0
xbtimer         00fc2ec4        Function        Global  User Defined    1       0
imrts           00fc2efa        Instruction Label       xbtimer User Defined    2       0
xbtimtab        00fc2efc        Data Label      Global  User Defined    2       0
keytbl          00fc2f00        Function        Global  User Defined    1       0
bioskeys        00fc2f2c        Function        Global  User Defined    2       0
dosound         00fc2f46        Function        Global  User Defined    1       0
setprt          00fc2f5a        Function        Global  User Defined    1       0
kbrate          00fc2f6c        Function        Global  User Defined    1       0
kbdvbase        00fc2f8e        Function        Global  User Defined    1       0
timercint       00fc2f96        Instruction Label       Global  User Defined    1       0
soundirq        00fc2ffc        Function        Global  User Defined    1       0
bellsnd         00fc3094        Data Label      Global  User Defined    1       0
clicksnd        00fc30b2        Data Label      Global  User Defined    2       0
prtblk          00fc30cc        Function        Global  User Defined    2       0
prtchar         00fc4076        Function        Global  User Defined    11      0
prtstr          00fc40c2        Function        Global  User Defined    10      0
plststat        00fc40f0        Function        Global  User Defined    0       0
prtlst          00fc4102        Function        Global  User Defined    1       0
pauxstat        00fc411e        Function        Global  User Defined    0       0
prtaux          00fc4130        Function        Global  User Defined    1       0
v_escape        00fc414c        Function        Global  User Defined    1       0
esc_tbl         00fc416a        Data Label      Global  User Defined    1       0
ce_more         00fc4192        Instruction Label       v_escape        User Defined    1       0
v_offset        00fc41a2        Instruction Label       v_escape        User Defined    1       0
asc_out         00fc41be        Function        Global  User Defined    1       0
bcon5out        00fc41be        Function        asc_out User Defined    0       0
con_out         00fc41ca        Function        Global  User Defined    1       0
bcon2out        00fc41ca        Function        con_out User Defined    0       0
gsx_conout      00fc41ce        Function        Global  User Defined    1       0
normal_ascii    00fc41da        Function        Global  User Defined    5       0
handle_control  00fc41f4        Instruction Label       normal_ascii    User Defined    1       0
ctrl_tbl        00fc420c        Data Label      Global  User Defined    1       0
exit_conout     00fc421a        Instruction Label       Global  User Defined    9       0
caseD_67        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_68        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_69        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_6d        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_6e        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_72        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_73        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_74        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_75        00fc421a        Instruction Label       switchD_00fc42b6        Analysis        0       0
caseD_5         00fc421a        Instruction Label       switchD_00fc42a8        Analysis        0       0
caseD_6         00fc421a        Instruction Label       switchD_00fc42a8        Analysis        0       0
do_bell         00fc421c        Instruction Label       normal_ascii    User Defined    2       0
caseD_7         00fc421c        Instruction Label       switchD_00fc420a        User Defined    0       0
caseD_9         00fc4220        Instruction Label       switchD_00fc420a        Analysis        0       0
do_tab          00fc4220        Instruction Label       normal_ascii    User Defined    1       0
esc_ch1         00fc4236        Instruction Label       Global  User Defined    1       0
get_row         00fc425e        Instruction Label       Global  User Defined    1       0
get_column      00fc4274        Instruction Label       Global  User Defined    1       0
check_low_case  00fc428e        Instruction Label       Global  User Defined    1       0
range_A2M       00fc429c        Instruction Label       Global  User Defined    1       0
range_b2w       00fc42aa        Instruction Label       Global  User Defined    1       0
caseD_62        00fc42b8        Instruction Label       switchD_00fc42b6        Analysis        0       0
get_fg_col      00fc42b8        Instruction Label       Global  User Defined    1       0
set_fg_col      00fc42c4        Instruction Label       Global  User Defined    1       0
caseD_63        00fc42d8        Instruction Label       switchD_00fc42b6        Analysis        0       0
get_bg_col      00fc42d8        Instruction Label       Global  User Defined    1       0
set_bg_col      00fc42e4        Instruction Label       Global  User Defined    1       0
A2M_tbl         00fc42f8        Data Label      Global  User Defined    1       0
b2w_tbl         00fc4312        Data Label      Global  User Defined    1       0
caseD_1         00fc433e        Instruction Label       switchD_00fc4168        Analysis        0       0
vq_chcells      00fc433e        Instruction Label       Global  User Defined    1       0
caseD_0         00fc4366        Instruction Label       switchD_00fc4168        Analysis        0       0
v_esc_nop       00fc4366        Instruction Label       Global  User Defined    7       0
esc_exit        00fc4366        Instruction Label       normal_ascii    User Defined    0       0
caseD_11        00fc4368        Instruction Label       switchD_00fc4168        Analysis        0       0
v_hardcopy      00fc4368        Instruction Label       Global  User Defined    1       0
caseD_3         00fc4372        Instruction Label       switchD_00fc4168        Analysis        0       0
v_enter_cur     00fc4372        Instruction Label       Global  User Defined    1       0
caseD_2         00fc4378        Instruction Label       switchD_00fc4168        Analysis        0       0
v_exit_cur      00fc4378        Instruction Label       Global  User Defined    1       0
escE            00fc437c        Instruction Label       Global  User Defined    2       0
caseD_0         00fc4380        Instruction Label       switchD_00fc42a8        Analysis        0       0
escA            00fc4380        Instruction Label       Global  User Defined    2       0
v_curup         00fc4380        Instruction Label       switchD_00fc4168        User Defined    0       0
v_curup         00fc4380        Instruction Label       Global  User Defined    0       0
up_cursor       00fc4388        Instruction Label       Global  User Defined    1       0
caseD_5         00fc4394        Instruction Label       switchD_00fc4168        Analysis        0       0
caseD_1         00fc4394        Instruction Label       switchD_00fc42a8        Analysis        0       0
escB            00fc4394        Instruction Label       Global  User Defined    3       0
v_curdown       00fc4394        Instruction Label       normal_ascii    User Defined    0       0
caseD_6         00fc43ae        Instruction Label       switchD_00fc4168        Analysis        0       0
caseD_2         00fc43ae        Instruction Label       switchD_00fc42a8        Analysis        0       0
escC            00fc43ae        Instruction Label       Global  User Defined    2       0
v_curright      00fc43ae        Instruction Label       Global  User Defined    0       0
caseD_7         00fc43c8        Instruction Label       switchD_00fc4168        Analysis        0       0
caseD_8         00fc43c8        Instruction Label       switchD_00fc420a        Analysis        0       0
caseD_3         00fc43c8        Instruction Label       switchD_00fc42a8        Analysis        0       0
v_curleft       00fc43c8        Instruction Label       Global  User Defined    0       0
escD            00fc43c8        Instruction Label       Global  User Defined    3       0
caseD_7         00fc43dc        Instruction Label       switchD_00fc42a8        Analysis        0       0
escH            00fc43dc        Instruction Label       Global  User Defined    4       0
v_curhome       00fc43dc        Instruction Label       Global  User Defined    0       0
