Name            Location        Type         Namespace  Source
iclkwtime       00000e0e        Data Label      Global  User Defined
iclkbuf         00000e12        Data Label      Global  User Defined
buttonbuf       00000e18        Data Label      Global  User Defined
shifty          00000e1b        Data Label      Global  User Defined
curkeytbl       00000e1c        Data Label      Global  User Defined
initmbuf        00000e28        Data Label      Global  User Defined
kb_key_last     00000e39        Data Label      Global  User Defined
kb_ticks        00000e3a        Data Label      Global  User Defined
kb_delay        00000e3b        Data Label      Global  User Defined
kb_initial      00000e3c        Data Label      Global  User Defined
kb_repeat       00000e3d        Data Label      Global  User Defined
lst_timeout     00000e3e        Data Label      Global  User Defined
tim_c_sieve     00000e42        Data Label      Global  User Defined
sndtable        00000e44        Data Label      Global  User Defined
snddelay        00000e48        Data Label      Global  User Defined
sndtmp          00000e49        Data Label      Global  User Defined
prtconfig       00000e4a        Data Label      Global  User Defined
iclk_ready      00000e4c        Data Label      Global  User Defined
biosav          00000e50        Data Label      Global  User Defined
savesr          00000e58        Data Label      Global  User Defined
fstack          00000e5a        Data Label      Global  User Defined
old_tik         00001672        Data Label      Global  User Defined
old_2           00001676        Data Label      Global  User Defined
dskbuf          0000167a        Data Label      Global  User Defined
fill_buffer     0000167a        Data Label      Global  User Defined
seed_type       0000167a        Data Label      Global  User Defined
search_color    0000167c        Data Label      Global  User Defined
Qbottom         0000167e        Data Label      Global  User Defined
qTop            00001680        Data Label      Global  User Defined
qPtr            00001682        Data Label      Global  User Defined
qTmp            00001684        Data Label      Global  User Defined
qHole           00001686        Data Label      Global  User Defined
oldy            00001688        Data Label      Global  User Defined
oldxleft        0000168a        Data Label      Global  User Defined
oldxright       0000168c        Data Label      Global  User Defined
newxleft        0000168e        Data Label      Global  User Defined
newxright       00001690        Data Label      Global  User Defined
xleft           00001692        Data Label      Global  User Defined
xright          00001694        Data Label      Global  User Defined
direction       00001696        Data Label      Global  User Defined
done            00001698        Data Label      Global  User Defined
gotseed         0000169a        Data Label      Global  User Defined
leftoldy        0000169c        Data Label      Global  User Defined
leftdirection   0000169e        Data Label      Global  User Defined
leftseed        000016a0        Data Label      Global  User Defined
h_align         000016a2        Data Label      Global  User Defined
v_align         000016a4        Data Label      Global  User Defined
width           000016a6        Data Label      Global  User Defined
height          000016a8        Data Label      Global  User Defined
wordx           000016aa        Data Label      Global  User Defined
wordy           000016ac        Data Label      Global  User Defined
