Name            Location        Type         Namespace  Source
autosca2        00fc0bda        Instruction Label       autoscan        User Defined
autosca3        00fc0be6        Instruction Label       autoscan        User Defined
autosca4        00fc0c0c        Instruction Label       autoscan        User Defined
scrdmp          00fc0c1a        Function        Global  User Defined
bscr_dump       00fc0c2c        Function        Global  User Defined
pbdeftab        00fc0cb0        Data Label      Global  User Defined
pbprtype        00fc0cbc        Data Label      Global  User Defined
bombimage       00fc0cc4        Data Label      Global  User Defined
waitvbl         00fc0ce4        Function        Global  User Defined
waitvbl2        00fc0d06        Instruction Label       waitvbl User Defined
waitvbl3        00fc0d0c        Instruction Label       waitvbl User Defined
waitvbl4        00fc0d12        Instruction Label       waitvbl User Defined
run_reset_resident      00fc0d20        Function        Global  User Defined
run_res1        00fc0d26        Instruction Label       run_reset_resident      User Defined
run_res2        00fc0d48        Instruction Label       run_reset_resident      User Defined
run_res3        00fc0d5e        Instruction Label       run_reset_resident      User Defined
bhdv_init       00fc0d60        Function        Global  User Defined
dbmsg           00fc0ddc        Function        Global  User Defined
bhdv_getbpb     00fc0de6        Function        Global  User Defined
bhdv_mediach    00fc0f96        Function        Global  User Defined
ckmediach       00fc1000        Function        Global  User Defined
bhdv_rwabs      00fc10d2        Function        Global  User Defined
dorwabs         00fc115c        Function        Global  User Defined
random          00fc132c        Function        Global  User Defined
bhdv_boot       00fc137c        Function        Global  User Defined
protobt         00fc1414        Function        Global  User Defined
sectsum         00fc1500        Function        Global  User Defined
getiword        00fc1530        Function        Global  User Defined
flopini         00fc1556        Function        Global  User Defined
flopini1        00fc1568        Instruction Label       flopini User Defined
floprd          00fc159e        Function        Global  User Defined
floprd6         00fc1642        Instruction Label       floprd  User Defined
fdcerr          00fc165a        Function        Global  User Defined
fdcerr1         00fc1676        Instruction Label       fdcerr  User Defined
flopwrt         00fc167c        Function        Global  User Defined
flopfmt         00fc1734        Function        Global  User Defined
fmtrack         00fc17a4        Function        Global  User Defined
wmult           00fc18c6        Function        Global  User Defined
flopver         00fc18ce        Function        Global  User Defined
verify1         00fc18ea        Function        Global  User Defined
verify3         00fc190e        Instruction Label       verify1 User Defined
verify6         00fc197e        Instruction Label       verify1 User Defined
verify7         00fc1996        Instruction Label       verify1 User Defined
verify8         00fc19a2        Instruction Label       verify1 User Defined
flopvbl         00fc19b0        Function        Global  User Defined
flopvbl4        00fc1a2e        Instruction Label       flopvbl User Defined
floplock        00fc1a34        Function        Global  User Defined
floploc1        00fc1a90        Instruction Label       floplock        User Defined
flopfail        00fc1acc        Function        Global  User Defined
flopok          00fc1ada        Function        Global  User Defined
hardseek        00fc1b28        Function        Global  User Defined
hardsee1        00fc1b2e        Function        Global  User Defined
reseek          00fc1b46        Function        Global  User Defined
go2track        00fc1b7a        Function        Global  User Defined
restore         00fc1ba0        Function        Global  User Defined
flopcmds        00fc1bb6        Function        Global  User Defined
flopcmd1        00fc1bda        Instruction Label       flopcmds        User Defined
flopcmd2        00fc1bde        Instruction Label       flopcmds        User Defined
flopcmd3        00fc1bf4        Instruction Label       flopcmds        User Defined
fd_curerr       00fc1bfa        Function        Global  User Defined
select          00fc1c14        Function        Global  User Defined
set_dma_TMP     00fc1c3c        Function        Global  User Defined
setporta        00fc1c60        Function        Global  User Defined
wrfdcd6         00fc1c86        Function        Global  User Defined
wrfdcd7         00fc1c90        Function        Global  User Defined
rdfdcd7         00fc1c9a        Function        Global  User Defined
rdfdcd0         00fc1ca4        Function        Global  User Defined
rwdelay         00fc1cac        Function        Global  User Defined
fdchange        00fc1cbe        Function        Global  User Defined
setdchg         00fc1cf6        Function        Global  User Defined
clockvec_routine        00fc1d12        Function        Global  User Defined
gettime         00fc1d5c        Function        Global  User Defined
isetdt          00fc1d76        Function        Global  User Defined
bcdput          00fc1de4        Function        Global  User Defined
bcdget          00fc1dfc        Function        Global  User Defined
bco3stat        00fc1e14        Function        Global  User Defined
bcon3out        00fc1e26        Function        Global  User Defined
bcon3o1         00fc1e2a        Function        Global  User Defined
midiws          00fc1e40        Function        Global  User Defined
midiws1         00fc1e4a        Instruction Label       midiws  User Defined
bcon3stat       00fc1e54        Function        Global  User Defined
bcon3in         00fc1e70        Function        Global  User Defined
bcon0out        00fc1ea0        Function        Global  User Defined
bcon0o3         00fc1edc        Instruction Label       Global  User Defined
strobeoff       00fc1f08        Instruction Label       Global  User Defined
strobeon        00fc1f0e        Instruction Label       Global  User Defined
bcon0in         00fc1f14        Function        Global  User Defined
bco0stat        00fc1f34        Function        Global  User Defined
bcon6stat       00fc1f48        Function        Global  User Defined
bcon6st2        00fc1f5c        Instruction Label       bcon6stat       User Defined
bcon6in         00fc1f5e        Function        Global  User Defined
bco6stat        00fc1f6e        Function        Global  User Defined
bco6sret        00fc1f84        Instruction Label       bco6stat        User Defined
bcon6out        00fc1f86        Function        Global  User Defined
bco4stat        00fc1f92        Function        Global  User Defined
bcon4out        00fc1fa4        Function        Global  User Defined
ikbd_writeb     00fc1fa8        Function        Global  User Defined
ikbdws          00fc1fbe        Function        Global  User Defined
ikbdws1         00fc1fc8        Function        Global  User Defined
bcon2stat       00fc1fd2        Function        Global  User Defined
bcon2in         00fc1fe8        Function        Global  User Defined
bco2stat        00fc2018        Function        Global  User Defined
ringbell        00fc201c        Function        Global  User Defined
soundir8        00fc2032        Instruction Label       ringbell        User Defined
keytblnorm      00fc2034        Data Label      Global  User Defined
keytblshift     00fc20b4        Data Label      Global  User Defined
keytblcaps      00fc2134        Data Label      Global  User Defined
initmfp         00fc21b4        Function        Global  User Defined
dummyrts        00fc230a        Instruction Label       initmfp User Defined
copymem         00fc230c        Function        Global  User Defined
ikbd_init_commands      00fc2314        Data Label      Global  User Defined
ikbdtable       00fc2318        Data Label      Global  User Defined
miditable       00fc2326        Data Label      Global  User Defined
rs232table      00fc2334        Data Label      Global  User Defined
mfpvectr        00fc2356        Data Label      Global  User Defined
settimer        00fc2366        Function        Global  User Defined
settim1         00fc23c4        Instruction Label       settimer        User Defined
mskreg          00fc23d8        Function        Global  User Defined
getmask         00fc23e0        Function        Global  User Defined
iert            00fc23ee        Data Label      Global  User Defined
iprt            00fc23f2        Data Label      Global  User Defined
isrt            00fc23f6        Data Label      Global  User Defined
imrt            00fc23fa        Data Label      Global  User Defined
imrmt           00fc23fe        Data Label      Global  User Defined
tcrtab          00fc2402        Data Label      Global  User Defined
tcrmsk          00fc2406        Data Label      Global  User Defined
tdrtab          00fc240a        Data Label      Global  User Defined
mfpint          00fc240e        Function        Global  User Defined
initint         00fc241c        Instruction Label       Global  User Defined
jdisint         00fc2438        Function        Global  User Defined
jdisint1        00fc2442        Instruction Label       Global  User Defined
jenabint        00fc2472        Function        Global  User Defined
jenabin1        00fc247c        Instruction Label       Global  User Defined
bselect         00fc249c        Instruction Label       Global  User Defined
rs232ptr        00fc24b0        Function        Global  User Defined
rs232ibuf       00fc24be        Function        Global  User Defined
rtschk          00fc24d2        Function        Global  User Defined
rs232put        00fc24e0        Function        Global  User Defined
rs232get        00fc253c        Function        Global  Default
rcvrint         00fc2596        Function        Global  User Defined
txrint          00fc2666        Function        Global  User Defined
ctsint          00fc26b2        Function        Global  User Defined
rxerror         00fc26fa        Function        Global  User Defined
txerror         00fc2718        Function        Global  User Defined
iorec           00fc2732        Function        Global  User Defined
iorectab        00fc274e        Data Label      Global  User Defined
rsconf          00fc275a        Function        Global  User Defined
baudctrl        00fc27e4        Data Label      Global  User Defined
bauddata        00fc27f4        Data Label      Global  User Defined
wrapin          00fc2804        Instruction Label       Global  User Defined
wrapout         00fc2810        Instruction Label       Global  User Defined
int_acia        00fc281c        Function        Global  User Defined
_midisys        00fc284a        Instruction Label       Global  User Defined
_ikbdsys        00fc285a        Instruction Label       Global  User Defined
aciasys         00fc2868        Instruction Label       Global  User Defined
aciasys1        00fc2882        Instruction Label       Global  User Defined
aciasys2        00fc288e        Instruction Label       Global  User Defined
aciaread        00fc2890        Function        Global  User Defined
begin_p1        00fc28e4        Instruction Label       aciaread        User Defined
begin_p2        00fc28ee        Instruction Label       aciaread        User Defined
ikbd_state_table        00fc28f0        Data Label      Global  User Defined
kbd_length_table        00fc28fa        Data Label      Global  User Defined
in_packet       00fc2904        Instruction Label       aciaread        User Defined
in_pack1        00fc2948        Instruction Label       aciaread        User Defined
in_pack2        00fc2952        Instruction Label       aciaread        User Defined
ikbdbaddr       00fc2954        Data Label      Global  User Defined
kbd_joy         00fc2990        Instruction Label       aciaread        User Defined
kbdvec          00fc29aa        Instruction Label       aciaread        User Defined
kbdvec1         00fc29ba        Instruction Label       aciaread        User Defined
kbdvec2         00fc29c6        Instruction Label       aciaread        User Defined
kbdvec3         00fc29d2        Instruction Label       aciaread        User Defined
kbdvec4         00fc29de        Instruction Label       aciaread        User Defined
kbdvec5         00fc29ea        Instruction Label       aciaread        User Defined
kbdvec6         00fc29f6        Instruction Label       aciaread        User Defined
kbdvec7         00fc2a02        Instruction Label       aciaread        User Defined
kbdvec8         00fc2a0e        Instruction Label       aciaread        User Defined
kbdvec9         00fc2a2a        Instruction Label       aciaread        User Defined
kbdvec10        00fc2a2e        Instruction Label       aciaread        User Defined
kbdvec11        00fc2a34        Instruction Label       aciaread        User Defined
kbdvec12        00fc2a64        Instruction Label       aciaread        User Defined
kbdvec13        00fc2a78        Instruction Label       aciaread        User Defined
kbdvec14        00fc2a86        Instruction Label       aciaread        User Defined
kbdvec15        00fc2a90        Instruction Label       Global  User Defined
kbdvec16        00fc2aa6        Instruction Label       Global  User Defined
kbdvec17        00fc2ac0        Instruction Label       Global  User Defined
kbdvec18        00fc2ad0        Instruction Label       Global  User Defined
kbdvec19        00fc2ae6        Instruction Label       Global  User Defined
kbdvec20        00fc2aea        Instruction Label       Global  User Defined
kbdvec21        00fc2b00        Instruction Label       Global  User Defined
kbdvec22        00fc2b0e        Instruction Label       Global  User Defined
kbdvec23        00fc2b1c        Instruction Label       Global  User Defined
kbdvec24        00fc2b2a        Instruction Label       Global  User Defined
kbdvec25        00fc2b36        Instruction Label       Global  User Defined
kbdvec26        00fc2b42        Instruction Label       Global  User Defined
kbdvec27        00fc2b4e        Instruction Label       Global  User Defined
kbdvec27        00fc2b56        Instruction Label       Global  User Defined
kbdfr1          00fc2b7e        Instruction Label       Global  User Defined
kbdfr2          00fc2b9c        Instruction Label       Global  User Defined
kbdfr3          00fc2bba        Instruction Label       Global  User Defined
kbdfr4          00fc2bd8        Instruction Label       Global  User Defined
kbdvec33        00fc2be8        Instruction Label       Global  User Defined
kbdvec34        00fc2bf0        Instruction Label       Global  User Defined
kbdvec35        00fc2c1e        Instruction Label       Global  User Defined
kbdvec36        00fc2c40        Instruction Label       Global  User Defined
kbdvec37        00fc2c62        Instruction Label       Global  User Defined
kbdvec38        00fc2c84        Instruction Label       Global  User Defined
kbdvec39        00fc2c96        Instruction Label       Global  User Defined
kbdvec40        00fc2ca2        Instruction Label       Global  User Defined
kbdvec41        00fc2ca6        Instruction Label       Global  User Defined
kbdvec44        00fc2cb4        Instruction Label       Global  User Defined
kbdvec45        00fc2cc8        Instruction Label       Global  User Defined
kbdvec46        00fc2cf0        Instruction Label       Global  User Defined
kbdvec47        00fc2cf8        Instruction Label       Global  User Defined
midiread        00fc2cfa        Function        Global  User Defined
_midivec        00fc2d00        Instruction Label       Global  User Defined
midivec1        00fc2d0e        Instruction Label       Global  User Defined
midivec2        00fc2d20        Instruction Label       Global  User Defined
keymouse        00fc2d22        Function        Global  User Defined
keymous4        00fc2d40        Instruction Label       Global  User Defined
mousekey        00fc2d66        Data Label      Global  User Defined
giaccess        00fc2d6a        Function        Global  User Defined
gientry         00fc2d72        Instruction Label       Global  User Defined
giacces1        00fc2d92        Instruction Label       Global  User Defined
rtsoff          00fc2d9e        Instruction Label       Global  User Defined
rtson           00fc2da2        Instruction Label       Global  User Defined
dtroff          00fc2da6        Function        Global  User Defined
dtron           00fc2daa        Function        Global  User Defined
ongibit         00fc2dae        Function        Global  User Defined
onbit           00fc2db4        Instruction Label       Global  User Defined
offgibit        00fc2dd4        Function        Global  User Defined
offbit          00fc2dda        Function        Global  User Defined
initmouse       00fc2dfa        Function        Global  User Defined
initmou1        00fc2e26        Instruction Label       initmouse       User Defined
initmou2        00fc2e36        Instruction Label       initmouse       User Defined
initmou3        00fc2e50        Instruction Label       initmouse       User Defined
initmou4        00fc2e92        Instruction Label       initmouse       User Defined
initmou5        00fc2ea6        Instruction Label       initmouse       User Defined
setmouse        00fc2eaa        Function        Global  User Defined
xbtimer         00fc2ec4        Function        Global  User Defined
imrts           00fc2efa        Instruction Label       xbtimer User Defined
xbtimtab        00fc2efc        Data Label      Global  User Defined
keytbl          00fc2f00        Function        Global  User Defined
bioskeys        00fc2f2c        Function        Global  User Defined
dosound         00fc2f46        Function        Global  User Defined
setprt          00fc2f5a        Function        Global  User Defined
kbrate          00fc2f6c        Function        Global  User Defined
kbdvbase        00fc2f8e        Function        Global  User Defined
timercint       00fc2f96        Instruction Label       Global  User Defined
soundirq        00fc2ffc        Function        Global  User Defined
bellsnd         00fc3094        Data Label      Global  User Defined
clicksnd        00fc30b2        Data Label      Global  User Defined
prtblk          00fc30cc        Function        Global  User Defined
prtchar         00fc4076        Function        Global  User Defined
prtstr          00fc40c2        Function        Global  User Defined
plststat        00fc40f0        Function        Global  User Defined
prtlst          00fc4102        Function        Global  User Defined
pauxstat        00fc411e        Function        Global  User Defined
prtaux          00fc4130        Function        Global  User Defined
v_escape        00fc414c        Function        Global  User Defined
esc_tbl         00fc416a        Data Label      Global  User Defined
ce_more         00fc4192        Instruction Label       v_escape        User Defined
v_offset        00fc41a2        Instruction Label       v_escape        User Defined
asc_out         00fc41be        Function        Global  User Defined
bcon5out        00fc41be        Function        asc_out User Defined
con_out         00fc41ca        Function        Global  User Defined
bcon2out        00fc41ca        Function        con_out User Defined
gsx_conout      00fc41ce        Function        Global  User Defined
normal_ascii    00fc41da        Function        Global  User Defined
handle_control  00fc41f4        Instruction Label       normal_ascii    User Defined
ctrl_tbl        00fc420c        Data Label      Global  User Defined
exit_conout     00fc421a        Instruction Label       Global  User Defined
caseD_67        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_68        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_69        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_6d        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_6e        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_72        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_73        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_74        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_75        00fc421a        Instruction Label       switchD_00fc42b6        Analysis
caseD_5         00fc421a        Instruction Label       switchD_00fc42a8        Analysis
caseD_6         00fc421a        Instruction Label       switchD_00fc42a8        Analysis
do_bell         00fc421c        Instruction Label       normal_ascii    User Defined
caseD_7         00fc421c        Instruction Label       switchD_00fc420a        User Defined
caseD_9         00fc4220        Instruction Label       switchD_00fc420a        Analysis
do_tab          00fc4220        Instruction Label       normal_ascii    User Defined
esc_ch1         00fc4236        Instruction Label       Global  User Defined
get_row         00fc425e        Instruction Label       Global  User Defined
get_column      00fc4274        Instruction Label       Global  User Defined
check_low_case  00fc428e        Instruction Label       Global  User Defined
range_A2M       00fc429c        Instruction Label       Global  User Defined
range_b2w       00fc42aa        Instruction Label       Global  User Defined
caseD_62        00fc42b8        Instruction Label       switchD_00fc42b6        Analysis
get_fg_col      00fc42b8        Instruction Label       Global  User Defined
set_fg_col      00fc42c4        Instruction Label       Global  User Defined
caseD_63        00fc42d8        Instruction Label       switchD_00fc42b6        Analysis
get_bg_col      00fc42d8        Instruction Label       Global  User Defined
set_bg_col      00fc42e4        Instruction Label       Global  User Defined
A2M_tbl         00fc42f8        Data Label      Global  User Defined
b2w_tbl         00fc4312        Data Label      Global  User Defined
caseD_1         00fc433e        Instruction Label       switchD_00fc4168        Analysis
vq_chcells      00fc433e        Instruction Label       Global  User Defined
caseD_0         00fc4366        Instruction Label       switchD_00fc4168        Analysis
v_esc_nop       00fc4366        Instruction Label       Global  User Defined
esc_exit        00fc4366        Instruction Label       normal_ascii    User Defined
caseD_11        00fc4368        Instruction Label       switchD_00fc4168        Analysis
v_hardcopy      00fc4368        Instruction Label       Global  User Defined
caseD_3         00fc4372        Instruction Label       switchD_00fc4168        Analysis
v_enter_cur     00fc4372        Instruction Label       Global  User Defined
caseD_2         00fc4378        Instruction Label       switchD_00fc4168        Analysis
v_exit_cur      00fc4378        Instruction Label       Global  User Defined
escE            00fc437c        Instruction Label       Global  User Defined
caseD_0         00fc4380        Instruction Label       switchD_00fc42a8        Analysis
escA            00fc4380        Instruction Label       Global  User Defined
v_curup         00fc4380        Instruction Label       switchD_00fc4168        User Defined
v_curup         00fc4380        Instruction Label       Global  User Defined
up_cursor       00fc4388        Instruction Label       Global  User Defined
caseD_5         00fc4394        Instruction Label       switchD_00fc4168        Analysis
caseD_1         00fc4394        Instruction Label       switchD_00fc42a8        Analysis
escB            00fc4394        Instruction Label       Global  User Defined
v_curdown       00fc4394        Instruction Label       normal_ascii    User Defined
caseD_6         00fc43ae        Instruction Label       switchD_00fc4168        Analysis
caseD_2         00fc43ae        Instruction Label       switchD_00fc42a8        Analysis
escC            00fc43ae        Instruction Label       Global  User Defined
v_curright      00fc43ae        Instruction Label       Global  User Defined
caseD_7         00fc43c8        Instruction Label       switchD_00fc4168        Analysis
caseD_8         00fc43c8        Instruction Label       switchD_00fc420a        Analysis
caseD_3         00fc43c8        Instruction Label       switchD_00fc42a8        Analysis
v_curleft       00fc43c8        Instruction Label       Global  User Defined
escD            00fc43c8        Instruction Label       Global  User Defined
caseD_7         00fc43dc        Instruction Label       switchD_00fc42a8        Analysis
escH            00fc43dc        Instruction Label       Global  User Defined
v_curhome       00fc43dc        Instruction Label       Global  User Defined
escJ            00fc43e4        Function        Global  User Defined
caseD_9         00fc43e4        Function        switchD_00fc42a8        Analysis
caseD_9         00fc43e4        Function        escJ    Analysis
v_eeos          00fc43e4        Function        Global  User Defined
caseD_a         00fc4410        Instruction Label       switchD_00fc42a8        User Defined
v_eeol          00fc4410        Instruction Label       Global  User Defined
escK            00fc4410        Instruction Label       Global  User Defined
caseD_b         00fc447a        Instruction Label       switchD_00fc4168        Analysis
vs_curaddress   00fc447a        Instruction Label       Global  User Defined
caseD_c         00fc448e        Instruction Label       switchD_00fc4168        Analysis
vs_curtext      00fc448e        Instruction Label       Global  User Defined
caseD_d         00fc44b4        Instruction Label       switchD_00fc4168        Analysis
caseD_70        00fc44b4        Instruction Label       switchD_00fc42b6        Analysis
v_rvon          00fc44b4        Instruction Label       Global  User Defined
escp            00fc44b4        Instruction Label       Global  User Defined
caseD_e         00fc44be        Instruction Label       switchD_00fc4168        Analysis
caseD_71        00fc44be        Instruction Label       switchD_00fc42b6        Analysis
v_rvoff         00fc44be        Instruction Label       Global  User Defined
caseD_f         00fc44c8        Instruction Label       switchD_00fc4168        Analysis
vq_curaddress   00fc44c8        Instruction Label       Global  User Defined
caseD_10        00fc44f2        Instruction Label       switchD_00fc4168        Analysis
vq_tabstatus    00fc44f2        Instruction Label       Global  User Defined
caseD_12        00fc450a        Instruction Label       switchD_00fc4168        Analysis
v_dspcur        00fc450a        Instruction Label       Global  User Defined
caseD_13        00fc451a        Instruction Label       switchD_00fc4168        Analysis
v_rmcur         00fc451a        Instruction Label       Global  User Defined
caseD_8         00fc4520        Instruction Label       switchD_00fc42a8        Analysis
escI            00fc4520        Instruction Label       Global  User Defined
caseD_b         00fc453a        Instruction Label       switchD_00fc42a8        Analysis
escL            00fc453a        Instruction Label       Global  User Defined
caseD_c         00fc4556        Instruction Label       switchD_00fc42a8        Analysis
escM            00fc4556        Instruction Label       Global  User Defined
set_v_col_fg    00fc4566        Instruction Label       Global  User Defined
set_v_col_bg    00fc4572        Instruction Label       Global  User Defined
escd            00fc457e        Instruction Label       Global  User Defined
esce            00fc459a        Function        Global  User Defined
FUN_00fc45b8    00fc45b8        Function        Global  Default
show_cursor     00fc45ce        Function        Global  User Defined
escf            00fc45e0        Function        Global  User Defined
caseD_66        00fc45e0        Function        escf    Analysis
escj            00fc4600        Function        Global  User Defined
caseD_6a        00fc4600        Function        switchD_00fc42b6        User Defined
esck            00fc461c        Function        Global  User Defined
caseD_6b        00fc461c        Function        switchD_00fc42b6        User Defined
caseD_6c        00fc4636        Instruction Label       switchD_00fc42b6        Analysis
escl            00fc4636        Instruction Label       Global  User Defined
esco            00fc4654        Function        Global  User Defined
caseD_6f        00fc4654        Function        switchD_00fc42b6        User Defined
caseD_76        00fc469a        Instruction Label       switchD_00fc42b6        Analysis
escv            00fc469a        Instruction Label       Global  User Defined
caseD_77        00fc46a4        Instruction Label       switchD_00fc42b6        Analysis
escw            00fc46a4        Instruction Label       Global  User Defined
caseD_d         00fc46ae        Instruction Label       switchD_00fc420a        Analysis
ascii_cr        00fc46ae        Instruction Label       normal_ascii    User Defined
caseD_a         00fc46ba        Instruction Label       switchD_00fc420a        Analysis
caseD_b         00fc46ba        Instruction Label       switchD_00fc420a        Analysis
caseD_c         00fc46ba        Instruction Label       switchD_00fc420a        Analysis
ascii_lf        00fc46ba        Instruction Label       normal_ascii    User Defined
blink           00fc46d8        Function        Global  User Defined
bl_exit         00fc470e        Instruction Label       Global  User Defined
cursconf        00fc4710        Function        Global  User Defined
conf_tbl        00fc472a        Data Label      Global  User Defined
caseD_0         00fc4736        Instruction Label       switchD_00fc4728        Analysis
bra_escf        00fc4736        Instruction Label       Global  User Defined
caseD_1         00fc473a        Instruction Label       switchD_00fc4728        Analysis
bra_esce        00fc473a        Instruction Label       Global  User Defined
caseD_2         00fc473e        Instruction Label       switchD_00fc4728        Analysis
onblink         00fc473e        Instruction Label       Global  User Defined
caseD_3         00fc474c        Instruction Label       switchD_00fc4728        Analysis
offblink        00fc474c        Instruction Label       Global  User Defined
caseD_4         00fc475a        Instruction Label       switchD_00fc4728        Analysis
setrate         00fc475a        Instruction Label       Global  User Defined
caseD_5         00fc4762        Instruction Label       switchD_00fc4728        Analysis
getrate         00fc4762        Instruction Label       Global  User Defined
out_of_bounds   00fc4796        Instruction Label       Global  User Defined
ascii_out       00fc479a        Function        Global  User Defined
erase_region    00fc4844        Function        Global  User Defined
FUN_00fc48e4    00fc48e4        Function        Global  Default
FUN_00fc492c    00fc492c        Function        Global  Default
move_cursor     00fc4998        Function        Global  User Defined
FUN_00fc4a16    00fc4a16        Function        Global  Default
FUN_00fc4a50    00fc4a50        Function        Global  Default
FUN_00fc4a88    00fc4a88        Function        Global  Default
FUN_00fc4ad0    00fc4ad0        Function        Global  Default
v_fontinit      00fc4b08        Instruction Label       v_escape        User Defined
gl_f_init       00fc4b10        Function        Global  User Defined
osinit          00fc4b78        Function        Global  User Defined
bdoslmul        00fc4c02        Function        Global  User Defined
_osinit         00fc4c56        Function        Global  User Defined
trap13          00fc4ca4        Function        Global  User Defined
ground_it       00fc4cb4        Instruction Label       Global  User Defined
novdi           00fc4cc6        Instruction Label       Global  User Defined
nodsp           00fc4cd4        Instruction Label       Global  User Defined
oterm           00fc4cdc        Instruction Label       Global  User Defined
tikhnd          00fc4cee        Instruction Label       Global  User Defined
indcall         00fc4d02        Function        Global  User Defined
swp68           00fc4d08        Function        Global  User Defined
swp68l          00fc4d1a        Function        Global  User Defined
xsetjmp         00fc4d30        Function        Global  User Defined
xlongjmp        00fc4d4c        Function        Global  User Defined
okrc            00fc4d5a        Instruction Label       xlongjmp        User Defined
enter           00fc4d66        Instruction Label       Global  User Defined
enter_1         00fc4d78        Instruction Label       Global  User Defined
enter_2         00fc4d82        Instruction Label       Global  User Defined
systk           00fc4dbc        Instruction Label       Global  User Defined
callos          00fc4dd6        Instruction Label       Global  User Defined
gouser          00fc4de0        Function        Global  User Defined
gousr           00fc4e02        Instruction Label       gouser  User Defined
retsys          00fc4e0e        Instruction Label       gouser  User Defined
x20_usr         00fc4e14        Instruction Label       Global  User Defined
xu_0            00fc4e22        Instruction Label       Global  User Defined
x20_sup         00fc4e32        Instruction Label       Global  User Defined
xs_usp          00fc4e52        Instruction Label       Global  User Defined
xs_0            00fc4e56        Instruction Label       Global  User Defined
xs_exit         00fc4e5a        Instruction Label       Global  User Defined
xs_scram        00fc4e5c        Instruction Label       Global  User Defined
x20_inq         00fc4e62        Instruction Label       Global  User Defined
xi_exit         00fc4e6e        Instruction Label       Global  User Defined
oscall          00fc4e70        Function        Global  User Defined
UC              00fc4e8a        Function        Global  User Defined
getdmd          00fc4eba        Function        Global  User Defined
syshnd          00fc4f46        Function        Global  User Defined
getofd          00fc4f80        Function        Global  User Defined
ixdirdup        00fc4f9e        Function        Global  User Defined
xdup            00fc4fd6        Function        Global  User Defined
xforce          00fc509e        Function        Global  User Defined
ixforce         00fc50b8        Function        Global  User Defined
xlog2           00fc515a        Function        Global  User Defined
login           00fc5180        Function        Global  User Defined
FUN_00fc53a6    00fc53a6        Function        Global  Default
xfr2usr         00fc53ba        Function        Global  User Defined
usr2xfr         00fc53e2        Function        Global  User Defined
xmovs           00fc540a        Function        Global  User Defined
xcmps           00fc5432        Function        Global  User Defined
xclose          00fc5486        Function        Global  User Defined
ixclose         00fc55ae        Function        Global  User Defined
flushbcb        00fc56ca        Function        Global  User Defined
FUN_00fc57b2    00fc57b2        Function        Global  Default
FUN_00fc5858    00fc5858        Function        Global  Default
makofd          00fc59fc        Function        Global  User Defined
match           00fc5a5a        Function        Global  User Defined
builds          00fc5ae8        Function        Global  User Defined
getpath         00fc5bc8        Function        Global  User Defined
xread           00fc5c2a        Function        Global  User Defined
ixread          00fc5c5c        Function        Global  User Defined
xwrite          00fc5caa        Function        Global  User Defined
ixwrite         00fc5cdc        Function        Global  User Defined
clfix           00fc5d04        Function        Global  User Defined
getcl           00fc5dfa        Function        Global  User Defined
nextcl          00fc5eb4        Function        Global  User Defined
FUN_00fc5f98    00fc5f98        Function        Global  Default
xrw             00fc5fda        Function        Global  User Defined
GetDnd          00fc6364        Function        Global  User Defined
scan            00fc63fe        Function        Global  User Defined
ckdrv           00fc65a0        Function        Global  User Defined
dcrack          00fc669e        Function        Global  User Defined
findit          00fc672e        Function        Global  User Defined
FUN_00fc679c    00fc679c        Function        Global  Default
xchdir          00fc6840        Function        Global  User Defined
packit          00fc6928        Function        Global  User Defined
dopath          00fc6994        Function        Global  User Defined
xgetdir         00fc69dc        Function        Global  User Defined
xgetdta         00fc6a5c        Function        Global  User Defined
xsetdta         00fc6a6e        Function        Global  User Defined
xsetdrv         00fc6a82        Function        Global  User Defined
xgetdrv         00fc6aa2        Function        Global  User Defined
xsfirst         00fc6ab8        Function        Global  User Defined
ixsfirst        00fc6ad6        Function        Global  User Defined
xsnext          00fc6bb6        Function        Global  User Defined
makbuf          00fc6c7e        Function        Global  User Defined
opnfil          00fc6d1e        Function        Global  User Defined
makopn          00fc6d9e        Function        Global  User Defined
dirinit         00fc6eb8        Function        Global  User Defined
xcreat          00fc6f5c        Function        Global  User Defined
ixcreat         00fc6f78        Function        Global  User Defined
xmkdir          00fc7190        Function        Global  User Defined
xopen           00fc73b4        Function        Global  User Defined
ixopen          00fc73c8        Function        Global  User Defined
xchmod          00fc743a        Function        Global  User Defined
xgsdtof         00fc74f0        Function        Global  User Defined
xunlink         00fc7574        Function        Global  User Defined
ixdel           00fc75e6        Function        Global  User Defined
xrmdir          00fc76ec        Function        Global  User Defined
xgetfree        00fc782a        Function        Global  User Defined
xrename         00fc78b2        Function        Global  User Defined
xlseek          00fc7a90        Function        Global  User Defined
ixlseek         00fc7aec        Function        Global  User Defined
DIVMOD          00fc7be6        Function        Global  User Defined
contains_dots   00fc7c14        Function        Global  User Defined
